num_ubers,num_cummters,total_Uber_naive_cost,total_Uber_scheduled_cost,total_Uber_distance,total_Uber_energy,total_Uber_naive_energy_charged,total_Uber_scheduled_energy_charged,total_Uber_naive_time_plugged_in,total_Uber_scheduled_time_plugged_in,total_Commuter_naive_cost,total_Commuter_scheduled_cost,total_Commuter_distance,total_Commuter_energy,total_Commuter_naive_energy_charged,total_Commuter_scheduled_energy_charged,total_Commuter_naive_time_plugged_in,total_Commuter_scheduled_time_plugged_in
1.120000000000000000e+02,8.880000000000000000e+02,2.601773576237725933e+02,2.338462234441794152e+01,4.526080632655346999e+05,2.338155769680089634e+03,2.000072045230881031e+03,3.380837244492096829e+02,1.901564882485639032e+02,1.403000000000000000e+03,5.123530544445669648e+02,3.257083131286078128e+02,1.479524087100892075e+03,4.651832369055890013e+03,2.471652081822561286e+03,2.180180287233325089e+03,2.285988172862697070e+02,8.642000000000000000e+03
1.040000000000000000e+02,8.960000000000000000e+02,3.072816782278036385e+02,4.001596527410509907e+01,4.697543567009858671e+05,2.635364611024626356e+03,2.073964019741107222e+03,5.614005912835191339e+02,1.809960606413404776e+02,2.430000000000000000e+03,4.028730838807600776e+02,3.208489939730484934e+02,1.468247517205211352e+03,3.943280465510859358e+03,1.923524502720834789e+03,2.019755962790026615e+03,1.870808317467970312e+02,7.107000000000000000e+03
1.210000000000000000e+02,8.790000000000000000e+02,3.424154904731597071e+02,5.625084245388058690e+01,4.725094708418076043e+05,2.741168334603617041e+03,2.316568498555357564e+03,4.245998360482591920e+02,2.089394125124704544e+02,2.246000000000000000e+03,4.232239659054008598e+02,3.812715782610061979e+02,1.796033544326881611e+03,3.696992007050822394e+03,1.814034557046510599e+03,1.882957450004311568e+03,1.727100357119319938e+02,6.273000000000000000e+03
1.150000000000000000e+02,8.850000000000000000e+02,2.233570816325118926e+02,1.299260555456114616e+02,4.478169961593858898e+05,2.673338388111176755e+03,1.910243099157349889e+03,7.630952889538284580e+02,1.798058404895326987e+02,1.223000000000000000e+03,4.413890266566364744e+02,4.194748724471323271e+02,2.338056036754647721e+03,4.537058048559193594e+03,2.179455244757787568e+03,2.357602803801404661e+03,2.073755375374824155e+02,7.270000000000000000e+03
9.100000000000000000e+01,9.090000000000000000e+02,2.381225862388981795e+02,3.773708072148272663e+01,4.601140829772755969e+05,2.355625540608150004e+03,1.928145914356682169e+03,4.274796262514682326e+02,1.833995499896690262e+02,3.025000000000000000e+03,3.891963779278887614e+02,3.300431289100637855e+02,2.070223555021235370e+03,4.062420800231511294e+03,1.929648168561995135e+03,2.132772631669517978e+03,1.776059051082112603e+02,9.963000000000000000e+03
8.500000000000000000e+01,9.150000000000000000e+02,2.664727464240907580e+02,6.907851450736859533e+01,4.995757554524622974e+05,2.147465504065657115e+03,1.594253700809150814e+03,5.532118032565072099e+02,1.474187817621234444e+02,2.179000000000000000e+03,3.847101403139419631e+02,3.168695436336603848e+02,2.726494600534830170e+03,3.923917525101232059e+03,1.818744261881249940e+03,2.105173263219981436e+03,1.758312118332609941e+02,9.724000000000000000e+03
9.700000000000000000e+01,9.030000000000000000e+02,2.549476474518240252e+02,3.061916307665224224e+01,4.392864849181100726e+05,2.319000376360786504e+03,1.944006108615981930e+03,3.749942677448044037e+02,1.796968050857578021e+02,2.013000000000000000e+03,3.432926968506878893e+02,2.088047237824785327e+02,1.539293205400776060e+03,3.698125929578846353e+03,1.913120401668151771e+03,1.785005527910693218e+03,1.830412650410737569e+02,7.756000000000000000e+03
9.400000000000000000e+01,9.060000000000000000e+02,1.695790643147030323e+02,3.707392919232553652e+01,4.560962366048288532e+05,2.014306456396327349e+03,1.703725645475052261e+03,3.105808109212751447e+02,1.503270022173287828e+02,6.080000000000000000e+02,4.057027037317237728e+02,3.362163732754947318e+02,2.511804098855944630e+03,4.314904537540727688e+03,2.055726408769610771e+03,2.259178128771116008e+03,2.105847195016180535e+02,8.066000000000000000e+03
9.300000000000000000e+01,9.070000000000000000e+02,1.817178456021631234e+02,5.840830460753142717e+01,4.798835962764216820e+05,2.227408932250686121e+03,1.767732379393296469e+03,4.596765528573898223e+02,1.765741590587539633e+02,1.997000000000000000e+03,3.884593470056293540e+02,2.990828135952724551e+02,1.503920308418943932e+03,3.819102514922983119e+03,1.884608013679616988e+03,1.934494501243368177e+03,1.847142966323238227e+02,7.119000000000000000e+03
1.080000000000000000e+02,8.920000000000000000e+02,2.353882506505904644e+02,3.881004121434268228e+01,4.590867268074319582e+05,2.272392261647962641e+03,1.989087909946636501e+03,2.833043517013260839e+02,1.859037373627128886e+02,5.240000000000000000e+02,4.264229609632826623e+02,2.955314238112447924e+02,2.355596690556634258e+03,3.865035914322250392e+03,2.006516899616996852e+03,1.858519014705253085e+03,1.889317865469484445e+02,5.838000000000000000e+03
